OriginalTweet,Sentiment,processed tweet,AMR
"i think........ this #PerintahKawalanPergerakan akan cause more cases of #COVID2019 

More people gather dekat 
1. Stesen bus 
2. Balai Polis 
3. Supermarket ( panic buy)",Negative,I think this #MovementControlOrder will cause more cases of #COVID2019.,"(m / multi-sentence
      :snt1 (t / think-01
            :ARG0 (ii / i)
            :ARG1 (c / cause-01
                  :ARG0 (p / person
                        :name (n / name
                              :op1 ""PerintahKawalanPergerakan"")
                        :mod (t2 / this))
                  :ARG1 (c2 / case-04
                        :ARG1 (s / string-entity
                              :value ""COVID2019"")
                        :quant (m2 / more))))
      :snt2 (g / gather-03
            :ARG0 (p2 / person
                  :quant (m3 / more))
            :ARG1 (s2 / string-entity
                  :value ""Dekat""
                  :ARG1-of (v / value-01
                        :ARG1-of (v2 / value-01
                              :polarity -))))
      :snt3 (s3 / string-entity
            :value ""1. Stesen bus""
            :ARG1-of (v3 / value-01
                  :polarity -
                  :ARG1-of (v4 / value-01)))
      :snt4 (s4 / string-entity
            :value ""Balai Polis""
            :ARG1-of (v5 / value-01
                  :polarity -
                  :ARG1-of (v6 / value-01)))
      :snt5 (b / buy-01
            :mod (p3 / panic-01)))"
There's a lot of misinformation out there. The World Health Organization recommends using hand sanitizer with an alcohol content of 60% or more. #coronavirus #covid19 https://t.co/2hhqFKerCo,Positive,There is a lot of misinformation about the coronavirus and the best way to protect yourself. The World Health Organization recommends using hand sanitizer with an alcohol content of 60% or more.,"(m / multi-sentence
      :snt1 (m2 / misinform-01
            :quant (l / lot)
            :location (o / out-there))
      :snt2 (r / recommend-01
            :ARG0 (o2 / organization
                  :name (n / name
                        :op1 ""World""
                        :op2 ""Health""
                        :op3 ""Organization""))
            :ARG1 (u / use-01
                  :ARG1 (p / product
                        :ARG0-of (s / sanitize-01
                              :ARG1 (h / hand))
                        :ARG1-of (c / contain-01
                              :ARG2 (a / alcohol)
                              :quant (a2 / at-least
                                    :op1 (p2 / percentage-entity
                                          :value 60))))))
      :snt3 (v / virus
            :name (n2 / name
                  :op1 ""coronavirus"")
            :mod (c2 / city
                  :name (n3 / name
                        :op1 ""Covid19"")))
      :snt4 (u2 / url-entity
            :value ""https://t.co/2hhqFKerCo""))"
Apple confirms devices left for repair at retail stores canÂt be picked up due to COVID-19 https://t.co/ZTe4SbA1zQ via @ChanceHMiller,Neutral,Apple has confirmed that devices left for repair at retail stores cannot be picked up due to COVID-19.,"(c / confirm-01
      :ARG0 (c2 / company
            :name (n / name
                  :op1 ""Apple""))
      :ARG1 (p / possible-01
            :polarity -
            :ARG1 (p2 / pick-up-04
                  :ARG1 (d / device
                        :ARG1-of (l / leave-12
                              :ARG2 (r / repair-01
                                    :ARG1 d)
                              :location (s / store
                                    :mod (r2 / retail-01)))))
            :ARG1-of (c3 / cause-01
                  :ARG0 (l2 / law
                        :name (n2 / name
                              :op1 ""COVID-19""))))
      :medium (u / url-entity
            :value ""https://t.co/ZTe4SbA1zQ"")
      :ARG1-of (s2 / say-01
            :ARG2 (p3 / person
                  :name (n3 / name
                        :op1 ""ChanceHMiller""))))"
continues amid the pandemic despite the potential risk it poses to the spread of disease across borders amp overseas Campaigners are calling for its suspension over welfare amp disease concerns during the current border crisis Read more,Negative,Campaigners are calling for the suspension of the campaign amid welfare and disease concerns during the current border crisis.,"(m / multi-sentence
      :snt1 (c / continue-01
            :time c
            :ARG1 (p / pandemic))
      :concession (p2 / pose-02
            :ARG0 c
            :ARG1 (r / risk-01
                  :ARG2 (s / spread-03
                        :ARG1 (d / disease)
                        :path (a / across
                              :op1 (a2 / and
                                    :op1 (b / border)
                                    :op2 (o / overseas)))))
            :mod (p3 / potential))
      :snt2 (c2 / call-03
            :ARG0 (p4 / person
                  :ARG0-of (c3 / campaign-01))
            :ARG1 (s2 / suspend-01
                  :ARG1 c
                  :ARG1-of (c4 / cause-01
                        :ARG0 (c5 / concern-01
                              :ARG0 (d2 / disease
                                    :mod (w / welfare)
                                    :mod (a3 / amp)))))
            :time (c6 / crisis
                  :mod (b2 / border)
                  :mod (c7 / current)))
      :ARG1-of (r2 / read-01
            :ARG0 (y / you)))"
Seen a drop in customer footfall in your grocery store  With more people staying home due to it s time to get your products delivered to them via   Take your digital now,Negative,"You may have seen a drop in customer footfall in your grocery store, but now is the time to get your products delivered to them via digital means.","(m / multi-sentence
      :snt1 (s / see-01
            :ARG0 (y / you)
            :ARG1 (d / drop-01
                  :ARG1 (f / footfall
                        :mod (c / customer))
                  :location (s2 / store
                        :mod (g / grocery)
                        :poss y)))
      :snt2 (c2 / cause-01
            :ARG0 (s3 / stay-01
                  :ARG1 (p / person
                        :quant (m2 / more))
                  :location (h / home)
                  :ARG1-of (c3 / cause-01
                        :ARG0 (t / time
                              :time-of (g2 / get-04
                                    :ARG0 p
                                    :ARG1 (d2 / deliver-01
                                          :ARG1 (p2 / product
                                                :poss (y2 / you))
                                          :ARG2 p))))))
      :snt3 (t2 / take-01
            :mode imperative
            :ARG0 (y3 / you)
            :ARG1 (d3 / digital
                  :poss y3)
            :time (n / now)))"
"U.S. broad based indices are down -26.69% to -36.17% due to looming recession stemming from coronavirus and estimated hit to consumer spending, EPS, potential cuts to dividends, credit events in fixed income, and GDP contracting. #Recession
#Coronavirus
#Panic https://t.co/LzbdfLtsfF",Negative,"The U.S. stock market is down 26.69% to 36.17% due to the looming recession stemming from the coronavirus and the estimated hit to consumer spending, EPS, potential cuts to dividends, credit events in fixed income, and GDP contracting.","(m / multi-sentence
      :snt1 (d / down-03
            :ARG1 (ii / index
                  :ARG1-of (b / base-02
                        :ARG2 (c / country
                              :name (n / name
                                    :op1 ""U.S.""))
                        :ARG1-of (b2 / broad-02)))
            :ARG3 (p / percentage-entity
                  :value 26.69)
            :ARG4 (p2 / percentage-entity
                  :value 36.17)
            :ARG1-of (c2 / cause-01
                  :ARG0 (a / and
                        :op1 (r / recession-02
                              :ARG1-of (l / loom-01)
                              :ARG1-of (s / stem-01
                                    :ARG2 (a2 / and
                                          :op1 (c3 / coronavirus)
                                          :op2 (h / hit-01
                                                :ARG1 (a3 / and
                                                      :op1 (s2 / spend-01
                                                            :ARG0 (p3 / person
                                                                  :ARG0-of (c4 / consume-01)))
                                                      :op2 (p4 / product
                                                            :ARG1-of (r2 / report-01)
                                                            :ARG1-of (ii2 / improve-01))
                                                      :op3 (d2 / dividend)
                                                      :op4 (e / event
                                                            :mod (c5 / credit-02)
                                                            :mod (ii3 / income
                                                                  :ARG1-of (f / fix-03)))
                                                      :op5 (c6 / contract-02
                                                            :ARG1 p4
                                                            :ARG1-of (g / gross-03)
                                                            :mod (d3 / domestic))))
                                          :ARG1-of (e2 / estimate-01)))))))
      :snt2 (a4 / and
            :op1 r)
      :op2 (p5 / publication
            :name (n2 / name
                  :op1 ""Recession""))
      :op3 p5
      :name (n3 / name
            :op1 ""Panic""))"
This article gets to the bottom of the #toiletpaper shortage. Talk about a Royal Flush #coronavirus #StayAtHome https://t.co/aIrGvBU5e6,Negative,This article discusses the #toiletpaper shortage. Talk about a Royal Flush #coronavirus #StayAtHome https://t.co/aIrGvBU5e6,"(m / multi-sentence
      :snt1 (g / get-05
            :ARG0 (a / article
                  :mod (t / this))
            :ARG1 (b / bottom
                  :poss (s / short-06
                        :ARG2 (p / paper
                              :purpose (t2 / toilet)))))
      :snt2 (t3 / talk-01
            :mode imperative
            :ARG0 (y / you)
            :ARG1 (p2 / product
                  :name (n / name
                        :op1 ""Royal""
                        :op2 ""Flush"")
                  :mod (c / coronavirus)))
      :snt3 (s2 / stay-01
            :location (h / home))
      :ARG1-of (h2 / hyperlink-91
            :ARG3 (u / url-entity
                  :value ""https://t.co/aIrGvBU5e6"")))"
wearing masks doesnÂt do much if people donÂt wear gloves AND the grocery store doesnÂt keep the self checkout surfaces clean. #Covid_19 https://t.co/DByap4svoW,Positive,Wearing masks and gloves does not help if the self checkout surfaces are not clean.,"(m / multi-sentence
      :snt1 (d / do-02
            :polarity -
            :ARG0 (w / wear-01
                  :ARG1 (m2 / mask))
            :ARG1 (m3 / much)
            :condition (a / and
                  :op1 (w2 / wear-01
                        :polarity -
                        :ARG0 (p / person)
                        :ARG1 (g / glove))
                  :op2 (k / keep-02
                        :polarity -
                        :ARG0 (s / store
                              :mod (g2 / grocery))
                        :ARG1 (c / clean-01
                              :ARG1 (s2 / surface
                                    :location-of (c2 / check-01
                                          :mod (s3 / self)))))))
      :snt2 p
      :name (n / name
            :op1 ""Covid_19"")
      :snt3 (u / url-entity
            :value ""https://t.co/DByap4svoW""))"
"Europe chemicals prices, stocks mixed as US stimulus effect starts to peter out
#ICIS #coronavirus #COVID19 #chemicals #pricing #petchems #stocks https://t.co/eduPiQeK8n",Neutral,Chemical prices and stocks in Europe are mixed as the effect of US stimulus starts to wear off.,"(m / multi-sentence
      :snt1 (a / and
            :op1 (t / thing
                  :ARG2-of (p / price-01
                        :ARG1 (c / chemical))
                  :location (c2 / continent
                        :name (n / name
                              :op1 ""Europe"")))
            :op2 (t2 / thing
                  :ARG2-of (p2 / price-01
                        :ARG1 (s / stock))
                  :location c2)
            :ARG1-of (m2 / mix-01)
            :ARG1-of (c3 / cause-01
                  :ARG0 (s2 / start-01
                        :ARG1 (p3 / peter-out-01
                              :ARG1 (e / effect-03
                                    :ARG0 (t3 / thing
                                          :ARG0-of (s3 / stimulate-01)
                                          :mod (c4 / country
                                                :name (n2 / name
                                                      :op1 ""US""))))))))
      :snt2 a
      :op1 (t4 / thing
            :name (n3 / name
                  :op1 ""ICIS""))
      :op2 (v / virus)
      :op3 (p4 / product
            :name (n4 / name
                  :op1 ""COVID19""))
      :op4 (c5 / chemical)
      :op5 (t5 / thing
            :ARG2-of (p5 / price-01))
      :op6 (t6 / thing
            :ARG2-of (s4 / stock-01))
      :snt3 (u / url-entity
            :value ""https://t.co/eduPiQeK8n""))"
How to Protect Yourself From #COVID?19 #Coronavirus When Grocery #Shopping ? In-Store or #Online. #health #publichealth https://t.co/lXnXIGbjMk,Positive,"How can you protect yourself from COVID-19 when grocery shopping, either in-store or online?","(m / multi-sentence
      :snt1 (p / protect-01
            :ARG0 (y / you)
            :ARG1 y
            :ARG2 (p2 / product
                  :name (n / name
                        :op1 ""COVID""))
            :polarity (a / amr-unknown))
      :snt2 (p3 / product
            :name (n2 / name
                  :op1 ""Coronavirus"")
            :time (s / shop-01
                  :ARG0 y
                  :ARG1 (g / grocery))
            :polarity (a2 / amr-unknown))
      :snt3 (o / or
            :op1 (b / be-located-at-91
                  :ARG2 (s2 / store))
            :op2 (o2 / online))
      :snt4 (h / health
            :mod (p4 / public))
      :snt5 (u / url-entity
            :value ""https://t.co/lXnXIGbjMk""))"
"Check Out WindsorÂs Traffic CamerasCoronavirus COVID-19 GuideTakeout Delivery GuideLowest Gas Prices In Windsor &amp; Essex County Ontario
Ontario Govt.Releases List Of ÂEssential WorkplacesÂ Allowed To Remain Open During OntarioÂs Shutdown https://t.co/ErX09r3XYo",Neutral,  can check out Windsor's traffic cameras here.,"(m / multi-sentence
      :snt1 (c / check-out-05
            :mode imperative
            :ARG0 (y / you)
            :ARG1 (c2 / camera
                  :mod (t / traffic)
                  :location (c3 / city
                        :name (n / name
                              :op1 ""Windsor""))))
      :snt2 (g / guide-01
            :ARG0 (p / product
                  :name (n2 / name
                        :op1 ""Coronavirus""
                        :op2 ""COVID-19""))
            :ARG1 (d / deliver-01
                  :ARG1 (t2 / take-out-11)))
      :snt3 (l / low-04
            :ARG1 (p2 / price-01
                  :ARG1 (g2 / gas))
            :location (a / and
                  :op1 c3
                  :op2 (c4 / county
                        :name (n3 / name
                              :op1 ""Essex""
                              :op2 ""County"")
                        :location (p3 / province
                              :name (n4 / name
                                    :op1 ""Ontario""))))
            :ARG2-of (h / have-degree-91
                  :ARG1 p2
                  :ARG3 (m2 / most)))
      :snt4 (p4 / publication-91
            :ARG1 (r / release-01
                  :ARG0 (g3 / government-organization
                        :ARG0-of (g4 / govern-01
                              :ARG1 p3))
                  :ARG1 (l2 / list
                        :consist-of (w / workplace
                              :ARG1-of (e / essential-02)
                              :ARG1-of (a2 / allow-01
                                    :ARG2 (r2 / remain-01
                                          :ARG1 w
                                          :ARG3 (o / open-09
                                                :ARG1 w)
                                          :time (s / shut-down-05
                                                :ARG1 p3))))))
            :ARG4 (u / url-entity
                  :value ""https://t.co/ErX09r3XYo"")))"
Good things about being stuck at home: 1. More time for arts &amp; crafts 2. Reading e-books 3. Walking my ? Sparky more 4. Saving gas 5. Online shopping. #covid_19 #positivevibes https://t.co/xshCtJIDOH,Positive,"Some good things about being stuck at home are that you have more time for arts and crafts, can read e-books, walk your dog more, save gas, and do online shopping.","(m / multi-sentence
      :snt1 (t / thing
            :ARG1-of (g / good-02)
            :topic (s / stick-01
                  :ARG2 (h / home))
            :domain (a / and
                  :op1 (t2 / time
                        :li 1
                        :purpose (a2 / and
                              :op1 (a3 / art)
                              :op2 a3)
                        :op3 (c / craft))
                  :mod (m2 / more))
            :op2 (r / read-01
                  :li 3
                  :ARG1 (b / book
                        :mod (e / electronics)))
            :op3 (w / walk-01
                  :li 4
                  :ARG0 (ii / i)
                  :polarity (a4 / amr-unknown))
            :op4 (s2 / save-01
                  :li 5
                  :ARG1 (g2 / gas))
            :op5 (s3 / shop-01
                  :li 5
                  :location (o / online)))
      :snt2 (a5 / and
            :op1 (s4 / string-entity
                  :value ""covid_19"")
            :op2 (s5 / string-entity
                  :value ""positivevibes"")
            :medium (u / url-entity
                  :value ""https://t.co/xshCtJIDOH"")))"
consumer and small business sites are updated with relevant COVID 19 information,Neutral,Consumer and small business sites are updated with relevant information about COVID 19.,"(u / update-01
      :ARG1 (s / site
            :poss (a / and
                  :op1 (p / person
                        :ARG0-of (c / consume-01))
                  :op2 (b / business
                        :mod (s2 / small))))
      :ARG2 (ii / information
            :ARG1-of (r / relevant-01)
            :mod (p2 / product
                  :name (n / name
                        :op1 ""COVID""
                        :op2 19))))"
My whole mood while IÂm in the grocery store this morning and someone decides to run right up behind me #SocialDistancingNow #COVID19 #Coronavirus #ILOVEMYLIFEGIVEME50FT https://t.co/kBrcOr287L,Neutral,I was in a bad mood at the grocery store this morning when someone ran up behind me.,"(m / multi-sentence
      :snt1 (a / and
            :op1 (m2 / mood
                  :poss (ii / i)
                  :mod (w / whole)
                  :time (b / be-located-at-91
                        :ARG1 ii
                        :ARG2 (s / store
                              :mod (g / grocery))
                        :time (d / date-entity
                              :dayperiod (m3 / morning)
                              :mod (t / today))))
            :op2 (d2 / decide-01
                  :ARG0 (s2 / someone)
                  :ARG1 (r / run-02
                        :ARG0 s2
                        :direction (b2 / behind
                              :op1 ii)
                        :mod (r2 / right))))
      :snt2 a
      :op1 (d3 / distance-01
            :time (n / now))
      :op2 (p / product
            :name (n2 / name
                  :op1 ""COVID19""))
      :op3 (v / virus)
      :op4 (t2 / thing
            :name n2
            :op1 ""ILOVEMYLIFEGIVEME50FT"")
      :snt3 (u / url-entity
            :value ""https://t.co/kBrcOr287L""))"
