OriginalTweet,Sentiment,processed tweet,AMR
"I wonder how this will impact the @Penn endowment since the Trustees were against fossil fuel divestment

cc: @fossilfreepenn

https://t.co/8b8y5oJ61m",Positive,I wonder how this will impact the Penn endowment since the Trustees were against fossil fuel divestment.,"(w / wonder-01
      :ARG0 (ii / i)
      :ARG1 (t / thing
            :manner-of (ii2 / impact-01
                  :ARG0 (t2 / this)
                  :ARG1 (e / endowment
                        :poss (u / university
                              :name (n / name
                                    :op1 ""Penn"")))))
      :ARG1-of (c / cause-01
            :ARG0 (o / oppose-01
                  :ARG0 (p / person
                        :ARG0-of (h / have-org-role-91
                              :ARG1 u
                              :ARG2 (t3 / trustee)))
                  :ARG1 (d / divest-01
                        :ARG1 (f / fuel
                              :mod (f2 / fossil))))))"
@chirp88 @Argos_Online No because people arent supposed to be going to argos exclusively and are only supposed to be going to argos as part of their shopping for food which the police are now starting to check if you are only going to argos #notessential ,Negative,"No, because people are only supposed to be going to Argos as part of their shopping for food, which the police are now starting to check.","(c / cause-01
      :ARG0 (s / suppose-02
            :ARG1 (p / person)
            :ARG2 (g / go-02
                  :ARG0 p
                  :ARG4 (c2 / company
                        :name (n / name
                              :op1 ""Argos""))
                  :part-of (s2 / shop-01
                        :ARG0 p
                        :ARG1 (f / food))
                  :ARG1-of (c3 / check-01
                        :ARG0 (p2 / police)
                        :ARG1-of (s3 / start-01
                              :ARG0 p2
                              :time (n2 / now))))
            :mod (o / only))
      :ARG1 (h / have-polarity-91
            :ARG2 -))"
"#CoronaCrisis  Visited reliance fresh store in Basweswarnagar BLR, the guard at gate carrying thermometer gun just checking the bills but not using the thermometer, still not serious about alarming situation , such a big retail chain but very callous attitude towards covid19",Positive,"The guard at the gate of the Basweswarnagar BLR Reliance fresh store was just checking bills and not using the thermometer, showing a lack of seriousness about the alarming situation. Such a big retail chain should have a better attitude towards covid19.","(m / multi-sentence
      :snt1 (a / and
            :op1 (c / check-01
                  :ARG0 (g / guard
                        :location (g2 / gate
                              :poss (s / store
                                    :name (n / name
                                          :op1 ""Basweswarnagar""
                                          :op2 ""BLR""
                                          :op3 ""Reliance""
                                          :op4 ""Fresh""))))
                  :ARG1 (b / bill)
                  :mod (j / just))
            :op2 (u / use-01
                  :polarity -
                  :ARG0 g
                  :ARG1 (t / thermometer))
            :ARG0-of (s2 / show-01
                  :ARG1 (l / lack-01
                        :ARG0 g
                        :ARG1 (s3 / serious-01
                              :ARG1 g
                              :ARG2 (s4 / situation
                                    :ARG0-of (a2 / alarm-01))))))
      :snt2 (r / recommend-01
            :ARG1 (h / have-03
                  :ARG0 (c2 / chain
                        :ARG0-of (r2 / retail-01)
                        :mod (b2 / big
                              :mod (s5 / such)))
                  :ARG1 (a3 / attitude
                        :ARG1-of (g3 / good-02
                              :ARG2-of (h2 / have-degree-91
                                    :ARG1 a3
                                    :ARG3 (m2 / more)))
                        :beneficiary (c3 / company
                              :name (n2 / name
                                    :op1 ""Covid19""))))))"
"i think........ this #PerintahKawalanPergerakan akan cause more cases of #COVID2019 

More people gather dekat 
1. Stesen bus 
2. Balai Polis 
3. Supermarket ( panic buy)",Negative,I think this #MovementControlOrder will cause more cases of #COVID2019.,"(t / think-01
      :ARG0 (ii / i)
      :ARG1 (c / cause-01
            :ARG0 (o / order-01
                  :ARG2 (c2 / control-01
                        :ARG1 (m / movement-07))
                  :mod (t2 / this))
            :ARG1 (c3 / case-04
                  :ARG1 (e / event
                        :name (n / name
                              :op1 ""COVID""
                              :op2 2019))
                  :quant (m2 / more))))"
"This supermarket has a creative way to combat hoarding...
https://t.co/iqXyQPb1n8 #Covid_19",Positive,  supermarket has a creative way to combat hoarding during the Covid-19 pandemic.,"(h / have-03
      :ARG0 (s / supermarket)
      :ARG1 (w / way
            :mod (c / creative)
            :manner-of (c2 / combat-01
                  :ARG0 s
                  :ARG1 (h2 / hoard-01
                        :time (p / pandemic
                              :name (n / name
                                    :op1 ""Covid-19""))))))"
"NEWS: How #Coronavirus is affecting the UK car industry:

?Car factory shutdowns across the globe
?Consumer events cancelled or postponed
?Car manufacturers producing ventilators for the NHS
?2.9% drop in car sales

Here's everything you need to know: https://t.co/pBi3ZZqhU7 https://t.co/YqwlMRPXG1",Negative,"The coronavirus is affecting the UK car industry in the following ways: car factory shutdowns across the globe, consumer events cancelled or postponed, car manufacturers producing ventilators for the NHS, and a 2.9% drop in car sales.","(a / affect-01
      :ARG0 (c / coronavirus)
      :ARG1 (ii / industry
            :mod (c2 / car)
            :mod (c3 / country
                  :name (n / name
                        :op1 ""UK"")))
      :manner (w / way
            :ARG1-of (f / follow-04)
            :domain (a2 / and
                  :op1 (s / shut-down-05
                        :ARG1 (f2 / factory
                              :mod (c4 / car))
                        :location (a3 / across
                              :op1 (g / globe)))
                  :op2 (o / or
                        :op1 (c5 / cancel-01
                              :ARG1 (e / event
                                    :mod (p / person
                                          :ARG0-of (c6 / consume-01))))
                        :op2 (p2 / postpone-01
                              :ARG1 e))
                  :op3 (p3 / produce-01
                        :ARG0 (c7 / company
                              :ARG0-of (m / manufacture-01
                                    :ARG1 c4))
                        :ARG1 (v / ventilator)
                        :ARG3 (g2 / government-organization
                              :name (n2 / name
                                    :op1 ""NHS"")))
                  :op4 (d / drop-01
                        :ARG1 (s2 / sell-01
                              :ARG1 c4)
                        :ARG2 (p4 / percentage-entity
                              :value 2.9)))))"
"Do you think highway men will make a comeback, heisting supermarket delivery vans? #COVID2019 https://t.co/yh0GuacbAk",Neutral,"Do you think highwaymen will make a comeback, heisting supermarket delivery vans?","(t / think-01
      :ARG0 (y / you)
      :ARG1 (c / comeback-01
            :ARG0 (h / highwayman
                  :ARG0-of (h2 / heist-01
                        :ARG1 (v / van
                              :ARG0-of (d / deliver-01)
                              :mod (s / supermarket)))))
      :polarity (a / amr-unknown))"
"Transurban to hike up toll prices for motorists, despite coronavirus https://t.co/TxI5wsS6GG via @MailOnline #tollroads #trucking #truckers #infrastructure #Transportation #transurban #coronavirus",Neutral,"Transurban will increase toll prices for motorists, despite coronavirus.","(ii / increase-01
      :ARG0 (c / company
            :name (n / name
                  :op1 ""Transurban""))
      :ARG1 (m / monetary-quantity
            :ARG2-of (p / price-01
                  :ARG1 (t / toll)
                  :ARG3 (p2 / person
                        :ARG0-of (d / drive-01
                              :ARG1 (a / automobile)))))
      :concession (c2 / coronavirus))"
"As senior citizens deal with anxiety about the coronavirus, grocery store chains and other retailers have come up with a way to ease their fears: shopping times reserved exclusively for them #coronavirus #CoronaCrisis #CoronaVirusUpdate #CoronaStopKaroNa #FridayThoughts #JM #NBA https://t.co/ab2VWZWh27",Negative,"As senior citizens deal with anxiety about the coronavirus, grocery store chains and other retailers have come up with a way to ease their fears: shopping times reserved exclusively for them.","(c / come-up-11
      :ARG0 (a / and
            :op1 (c2 / chain
                  :mod (s / store
                        :mod (g / grocery)))
            :op2 (p / person
                  :ARG0-of (r / retail-01)
                  :mod (o / other)))
      :ARG1 (w / way
            :instrument-of (e / ease-02
                  :ARG0 a
                  :ARG1 (f / fear-01
                        :ARG0 (c3 / citizen))
                  :ARG1-of (m / mean-01
                        :ARG2 (r2 / reserve-01
                              :ARG1 (t / time
                                    :time-of (s2 / shop-01))
                              :ARG2 c3
                              :manner (e2 / exclusive-02))))
            :time (d / deal-01
                  :ARG0 c3
                  :ARG1 (a2 / anxiety
                        :topic (c4 / coronavirus)))))"
"It's been a tough time for everyone with COVID-19, nowhere more so than food banks where demand is up. A new food drive is now underway in hopes of easing some of that burden. @CTVIanCampbell  @SudburyFoodBank https://t.co/5WBZbkIvuI",Neutral,"The COVID-19 pandemic has been tough on everyone, especially food banks where demand has increased. A new food drive is underway in hopes of easing the burden.","(m / multi-sentence
      :snt1 (t / tough-02
            :ARG0 (p / pandemic
                  :name (n / name
                        :op1 ""COVID-19""))
            :ARG1 (e / everyone
                  :ARG2-of (ii / include-91
                        :ARG1 (b / bank
                              :mod (f / food)
                              :location-of (ii2 / increase-01
                                    :ARG1 (d / demand-01
                                          :ARG1 (f2 / food)))
                              :mod (e2 / especially)))))
      :snt2 (u / underway
            :domain (d2 / drive-04
                  :ARG1 (f3 / food)
                  :ARG1-of (n2 / new-01)
                  :ARG0-of (h / hope-01
                        :ARG1 (e3 / ease-02
                              :ARG1 (b2 / burden))))))"
"I've received many emails from business in regards to the #CoronaVirus but I haven't in regards to my cellphone carrier. 
Here's a list of what each major carrier is doing for it's customers during this #pandemic 
https://t.co/bCxjLLr3V0",Neutral,I've received many emails from businesses regarding the #CoronaVirus but not regarding my cellphone carrier.,"(r / receive-01
      :ARG0 (ii / i)
      :ARG1 (e / email-01
            :ARG0 (b / business)
            :ARG1 (c / contrast-01
                  :ARG1 (c2 / concern-02
                        :ARG0 e
                        :ARG1 (v / virus
                              :name (n / name
                                    :op1 ""CoronaVirus"")))
                  :ARG2 (c3 / concern-02
                        :polarity -
                        :ARG0 e
                        :ARG1 (c4 / carrier
                              :mod (c5 / cellphone)
                              :poss ii)))
            :quant (m / many))
      :ARG2 b)"
Australian carbon market inoculated from as European prices tumble,Neutral,The Australian carbon market is not affected by the decrease in European prices.,"(a / affect-01
      :polarity -
      :ARG0 (d / decrease-01
            :ARG1 (t / thing
                  :ARG2-of (p / price-01
                        :ARG1 (c / carbon))
                  :location (c2 / continent
                        :name (n / name
                              :op1 ""Europe""))))
      :ARG1 (m / market
            :mod c
            :location (c3 / country
                  :name (n2 / name
                        :op1 ""Australia""))))"
"#BrianElderRoofing is thinking of all of the healthcare workers, delivery drivers, grocery store employees, restaurant employees, and community members that continue to work hard during COVID-19. You are appreciated! https://t.co/sCznukYyZv",Positive,"Brian Elder Roofing is thinking of all of the healthcare workers, delivery drivers, grocery store employees, restaurant employees, and community members that continue to work hard during COVID-19. You are appreciated!","(m / multi-sentence
      :snt1 (t / think-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""Brian""
                        :op2 ""Elder""
                        :op3 ""Roofing""))
            :ARG1 (a / and
                  :op1 (p2 / person
                        :ARG0-of (w / work-01
                              :ARG1 (h / healthcare)))
                  :op2 (p3 / person
                        :ARG0-of (d / drive-01
                              :ARG1 (d2 / deliver-01)))
                  :op3 (p4 / person
                        :ARG1-of (e / employ-01
                              :ARG2 (s / store
                                    :mod (g / grocery))))
                  :op4 (p5 / person
                        :ARG1-of (e2 / employ-01
                              :ARG2 (r / restaurant)))
                  :op5 (p6 / person
                        :ARG0-of (h2 / have-org-role-91
                              :ARG1 (c / community)
                              :ARG2 (m2 / member)))
                  :ARG0-of (c2 / continue-01
                        :ARG1 (w2 / work-01
                              :ARG0 a
                              :ARG1-of (h3 / hard-02)
                              :time (e3 / event
                                    :name (n2 / name
                                          :op1 ""COVID-19""))))
                  :mod (a2 / all)))
      :snt2 (a3 / appreciate-02
            :ARG1 (y / you)))"
"Fame Confusion.
#covid19 #coronavirus #toiletpaper #stoppanicbuying #art #illustration #drawing #stayhealthy #fame #confused #dontknowwhy #timetoshine https://t.co/jkBPdEqIBo",Positive,I'm confused about fame.,"(c / confuse-01
      :ARG1 (ii / i)
      :ARG2 (f / fame-01))"
"Besides the obvious toilet paper, what have you had trouble find at the grocery store? #SocialDistancing",Negative,What else have you had trouble finding at the grocery store?,"(h / have-trouble-04
      :ARG0 (y / you)
      :ARG1 (f / find-01
            :ARG0 y
            :ARG1 (a / amr-unknown
                  :mod (e / else))
            :location (s / store
                  :mod (g / grocery))))"
"Consumer attitudes, media habits and expectations during the COVID-19 Pandemic #mediavataarindia
https://t.co/g6wfRHl4Nl https://t.co/LctLLVK0JY",Neutral,"During the COVID-19 pandemic, consumer attitudes, media habits, and expectations have changed.","(c / change-01
      :ARG1 (a / and
            :op1 (a2 / attitude
                  :poss (p / person
                        :ARG0-of (c2 / consume-01)))
            :op2 (h / habit
                  :mod (m / media))
            :op3 (e / expect-01
                  :ARG0 p))
      :time (p2 / pandemic
            :name (n / name
                  :op1 ""COVID-19"")))"
"Advice for people worrying about toilet paper: In many eastern nations, people tend to use water to cleanse themselves after doing their business. You can use an empty 500ml bottle, good way to use less TP.

#toiletpaper #ToiletPaperPanic #coronavirus #panicbuying #COVID?19",Negative,"If you are worried about not having enough toilet paper, you can use water to cleanse yourself after doing your business. This is a common practice in many eastern nations and it is a good way to use less toilet paper.","(m / multi-sentence
      :snt1 (p / possible-01
            :ARG1 (u / use-01
                  :ARG0 (y / you)
                  :ARG1 (w / water)
                  :ARG2 (c / cleanse-01
                        :ARG0 y
                        :ARG1 y
                        :time (a / after
                              :op1 (d / do-02
                                    :ARG0 y
                                    :ARG1 (b / business
                                          :poss y)))))
            :condition (w2 / worry-02
                  :ARG0 (h / have-03
                        :polarity -
                        :ARG0 y
                        :ARG1 (p2 / paper
                              :purpose (t / toilet)
                              :ARG1-of (h2 / have-quant-91
                                    :ARG3 (e / enough))))
                  :ARG1 y))
      :snt2 (a2 / and
            :op1 (p3 / practice-01
                  :ARG1 (t2 / this)
                  :mod (c2 / common)
                  :location (n / nation
                        :quant (m2 / many)
                        :location (w3 / world-region
                              :name (n2 / name
                                    :op1 ""East""))))
            :op2 (w4 / way
                  :manner-of (u2 / use-01
                        :ARG1 (p4 / paper
                              :purpose (t3 / toilet)
                              :ARG1-of (h3 / have-quant-91
                                    :ARG3 (l / less))))
                  :domain t2
                  :ARG1-of (g / good-02))))"
Thai authorities make a decision to close all shoppingmalls and markets in Bangkok effective 22 March 12 April Exception is supermarket grocery and drug store that will still be open Restaurants inside can operate only for take away 19,Positive,":00The Thai authorities have decided to close all shopping malls and markets in Bangkok, effective 12 April. The exception is supermarkets, grocery stores, and drug stores, which will still be open. Restaurants inside can operate only for take away after 19:00.","(m / multi-sentence
      :snt1 (d / decide-01
            :ARG0 (a / authority
                  :mod (c / country
                        :name (n / name
                              :op1 ""Thailand"")))
            :ARG1 (c2 / close-01
                  :ARG0 a
                  :ARG1 (a2 / and
                        :op1 (m2 / mall
                              :mod (s / shop-01))
                        :op2 (m3 / market)
                        :location (c3 / city
                              :name (n2 / name
                                    :op1 ""Bangkok""))
                        :mod (a3 / all))
                  :ARG1-of (e / effect-03
                        :time (d2 / date-entity
                              :month 4
                              :day 12))))
      :snt2 (e2 / except-01
            :ARG1 (a4 / and
                  :op1 (s2 / supermarket)
                  :op2 (s3 / store
                        :mod (g / grocery))
                  :op3 (s4 / store
                        :mod (d3 / drug))
                  :ARG1-of (o / open-09
                        :mod (s5 / still))))
      :snt3 (p / possible-01
            :ARG1 (o2 / operate-01
                  :ARG1 (r / restaurant
                        :location (ii / inside))
                  :purpose (t / take-away-05
                        :ARG1 r
                        :mod (o3 / only))
                  :time (a5 / after
                        :op1 (d4 / date-entity
                              :time ""19:00"")))))"
Bright spots in dark times: local businesses like this one are pivoting to respond to their consumerÂs needs during a time of crisis - https://t.co/LWbo4eWHzD #pivot #coronavirus,Positive,  businesses like this one are pivoting to respond to their consumers' needs during a time of crisis.,"(p / pivot-01
      :ARG1 (b / business
            :ARG1-of (r / resemble-01
                  :ARG2 (o / one
                        :mod (t / this))))
      :ARG2 (r2 / respond-01
            :ARG0 b
            :ARG1 (n / need-01
                  :ARG0 (p2 / person
                        :ARG0-of (c / consume-01
                              :ARG1 b)))
            :time (c2 / crisis)))"
"Watching daily press conference . So to recap TrumpÂs main talking points, thereÂs a truck load of hand sanitizer heading to NY, and a hospital ship on each coast. So problem solved, I guess??? ? #Coronavirus",Positive,"Watching the daily press conference, it seems that Trump's main talking points are that a truck load of hand sanitizer is heading to NY, and there is a hospital ship on each coast. So problem solved, I guess??? #Coronavirus","(m / multi-sentence
      :snt1 (s / seem-01
            :ARG1 (h / have-talking-point-07
                  :ARG0 (p / person
                        :name (n / name
                              :op1 ""Trump""))
                  :ARG1 (a / and
                        :op1 (h2 / head-02
                              :ARG0 (t / truck
                                    :ARG1-of (l / load-01
                                          :ARG2 (s2 / sanitize-01
                                                :ARG1 (h3 / hand))))
                              :ARG1 (s3 / state
                                    :name (n2 / name
                                          :op1 ""NY"")))
                        :op2 (b / be-located-at-91
                              :ARG1 (s4 / ship
                                    :mod (h4 / hospital))
                              :ARG2 (c / coast
                                    :mod (e / each))))
                  :mod (m2 / main))
            :time (w / watch-01
                  :ARG1 (c2 / conference
                        :mod (p2 / press)
                        :frequency (r / rate-entity-91
                              :ARG3 (t2 / temporal-quantity
                                    :quant 1
                                    :unit (d / day))))))
      :snt2 (g / guess-01
            :ARG0 (ii / i)
            :ARG1 (s5 / solve-01
                  :ARG1 (p3 / problem))
            :polarity (a2 / amr-unknown))
      :snt3 (v / virus
            :mod (c3 / coronavirus)))"
Coronavirus Covid 19 Update 20th March 2020 11 55pm Deepdale Stores our supermarket is open amp maintaining good stock levels and are closed is closed as the government has asked all restaurants to close,Positive,Our supermarket is open and maintaining good stock levels.,"(a / and
      :op1 (o / open-09
            :ARG1 (s / supermarket
                  :poss (w / we)))
      :op2 (m / maintain-01
            :ARG0 s
            :ARG1 (l / level
                  :mod (s2 / stock-01)
                  :ARG1-of (g / good-02))))"
The average price of regular gas fell 14 cents in the past 2 weeks to 2 01 per gallon Industry analyst Trilby Lundberg says that prices have dropped 52 cents in the past 7 weeks as demand declined amid stay at home orders because of the,Negative, coronavirusThe average price of regular gas has fallen 14 cents in the past 2 weeks to $2.01 per gallon. Industry analyst Trilby Lundberg says that prices have dropped 52 cents in the past 7 weeks as demand declined amid stay at home orders because of the coronav,"(m / multi-sentence
      :snt1 (c / coronavirus)
      :snt2 (f / fall-01
            :ARG1 (t / thing
                  :ARG2-of (p / price-01
                        :ARG1 (g / gas
                              :ARG1-of (r / regular-03)))
                  :ARG1-of (a / average-01))
            :ARG2 (m2 / monetary-quantity
                  :quant 14
                  :unit (c2 / cent))
            :ARG4 (r2 / rate-entity-91
                  :ARG1 (m3 / monetary-quantity
                        :quant 2.01
                        :unit (c3 / cent))
                  :ARG2 (v / volume-quantity
                        :quant 1
                        :unit (g2 / gallon)))
            :time (b / before
                  :op1 (n / now)
                  :duration (t2 / temporal-quantity
                        :quant 2
                        :unit (w / week))))
      :snt3 (s / say-01
            :ARG0 (p2 / person
                  :name (n2 / name
                        :op1 ""Trilby""
                        :op2 ""Lundberg"")
                  :ARG0-of (a2 / analyze-01
                        :ARG1 (ii / industry)))
            :ARG1 (d / drop-01
                  :ARG1 (t3 / thing
                        :ARG2-of (p3 / price-01))
                  :ARG2 (m4 / monetary-quantity
                        :quant 52
                        :unit (c4 / cent))
                  :time b
                  :op1 (n3 / now)
                  :duration (t4 / temporal-quantity
                        :quant 7
                        :unit (w2 / week)))
            :ARG1-of (c5 / cause-01
                  :ARG0 (d2 / decline-01
                        :ARG1 (d3 / demand-01
                              :ARG1 (s2 / stay-01
                                    :location (h / home))
                              :ARG1-of (c6 / cause-01
                                    :ARG0 c))))))"
People trying to buy toilet paper when they find out a new shipment has come in to the grocery store. #coronavirus craziness https://t.co/VGeiX2To3v,Negative,People are rushing to buy toilet paper at the grocery store when they find out that a new shipment has arrived.,"(r / rush-01
      :ARG1 (p / person)
      :ARG2 (b / buy-01
            :ARG0 p
            :ARG1 (p2 / paper
                  :purpose (t / toilet))
            :ARG2 (s / store
                  :mod (g / grocery)))
      :time (f / find-out-03
            :ARG0 p
            :ARG1 (a / arrive-01
                  :ARG1 (s2 / shipment
                        :ARG1-of (n / new-01)))))"
