AMR
"(d / dismiss-01
                        :op1 ""SpaceX""))
            :ARG1 (s / sanitizer
                  :beneficiary (h / hand)
                  :poss c))
      :op2 (b / build-01
            :ARG0 c
            :ARG1 (s2 / shield
                  :mod (f / face))
            :purpose (d / donate-01
                  :ARG0 c
                  :ARG2 (f2 / fight-01
                        :ARG1 (c2 / coronavirus)))))"
"(s / say-01
      :ARG0 (s2 / survey
            :name (n / name
                  :op1 ""Kagan""
                  :op2 ""Spring""
                  :op3 ""U.S.""
                  :op4 ""Consumer""
                  :op5 ""Insights"")
            :poss (w / we))
      :ARG1 (ii / increase-01
            :ARG0 (p / pandemic
                  :mod (c / coronavirus))
            :ARG1 (a / appeal-03
                  :ARG0 (c2 / content
                        :mod (v / virtual)
                        :mod (t / type
                              :mod (c3 / certain))))))"
"(e / expect-01
      :ARG0 (p / person
            :ARG0-of (a / analyze-01)
            :ARG0-of (h / have-org-role-91
                  :ARG1 (b / bank
                        :name (n / name
                              :op1 ""UBS""))))
      :ARG1 (h2 / hit-01
            :ARG1 (a2 / and
                  :op1 (g / grow-01
                        :ARG1 (l / loan-01
                              :mod (r / retail)))
                  :op2 (c / collect-01))
            :ARG1-of (c2 / cause-01
                  :ARG0 (a3 / and
                        :op1 (d / distance-01
                              :mod (s / social))
                        :op2 (s2 / spend-01
                              :mod (d2 / discretionary)
                              :ARG1-of (h3 / have-degree-91
                                    :ARG2 (l2 / low-04
                                          :ARG1 s2)
                                    :ARG3 (m / more)))))))"
"(p / possible-01
      :ARG1 (f / find-01
            :ARG1 (a / act-02
                  :ARG0 (c / company
                        :ARG0-of (r / retail-01)
                        :location (c2 / country
                              :name (n / name
                                    :op1 ""UK"")))
                  :topic (p2 / product
                        :name (n2 / name
                              :op1 ""COVID-19""))
                  :mod (l / last))
            :location (u / url-entity
                  :value ""https://www.supermarketmagazine.co.uk/coronavirus-covid-19-latest-actions-uk-retailers.html"")))"
"(r / respond-01
      :ARG0 (p / person
            :name (n / name
                  :op1 ""Sherrod""
                  :op2 ""Brown"")
            :ARG0-of (h / have-org-role-91
                  :ARG2 (s / senator)))
      :ARG1 (a / and
            :op1 (ii / introduce-02
                  :ARG0 p
                  :ARG1 (l / law
                        :name (n2 / name
                              :op1 ""SmallBusiness""
                              :op2 ""and""
                              :op3 ""Consumer""
                              :op4 ""Debt""
                              :op5 ""Collecting""
                              :op6 ""Emergency""
                              :op7 ""Relief""
                              :op8 ""Act"")))
            :op2 (p2 / propose-01
                  :ARG0 p
                  :ARG1 (a2 / amend-01
                        :ARG1 (l2 / law
                              :name (n3 / name
                                    :op1 ""Fair""
                                    :op2 ""Debt""
                                    :op3 ""Collections""
                                    :op4 "" Practices""
                                    :op5 ""Act"")))))
      :ARG2 (p3 / pandemic
            :name (n4 / name
                  :op1 ""COVID19"")
            :mod (v / virus
                  :mod (c / coronavirus))))"
"(s / say-01
      :ARG0 (p / person
            :name (n / name
                  :op1 ""DrDenaGrayson""))
      :ARG1 (b / begin-01
            :ARG1 (d / die-01
                  :ARG1 (p2 / person
                        :ARG0-of (w / work-01
                              :ARG1 (g / grocery)))
                  :ARG1-of (c / cause-01
                        :ARG0 (c2 / coronavirus)))
            :ARG0-of (r / raise-01
                  :ARG1 (c3 / concern-01
                        :ARG0 (s2 / safe-01
                              :ARG1 (p3 / person
                                    :ARG0-of (w2 / work-01)
                                    :mod (e / essential)
                                    :mod (t / this))))))
      :time (d2 / date-entity
            :year 2020
            :month 3
            :day 16))"
"(f / foresee-01
      :polarity -
      :ARG0 (o / organization
            :name (n / name
                  :op1 ""Nunavut""))
      :ARG1 (s / short-06
            :ARG2 (f2 / fuel)
            :mod (a / any))
      :ARG1-of (c / cause-01
            :ARG0 (p / pandemic
                  :name (n2 / name
                        :op1 ""COVID-19""))))"
"(s / say-01
      :ARG1 (t / talk-01
            :mode imperative
            :ARG0 (w / we)
            :ARG1 (c / coronavirus))
      :ARG2 (p / person
            :name (n / name
                  :op1 ""Flattenthecurve"")))"
"(m / multi-sentence
      :snt1 (h / have-03
            :ARG0 (s / store
                  :mod (g / grocery))
            :ARG1 (a / and
                  :op1 (p / person
                        :ARG0-of (h2 / have-org-role-91
                              :ARG3 (b / bouncer)))
                  :op2 (l / line)
                  :ARG1-of (r / resemble-01
                        :ARG2 (c / club
                              :mod (d / dance-01)))))
      :snt2 (a2 / and
            :op1 (b2 / be-located-at-91
                  :ARG1 (p2 / person
                        :quant 100
                        :mod (o / only))
                  :ARG2 (s2 / store))
            :op2 (f / full-09
                  :ARG1 (s3 / shelf)
                  :ARG2 (p3 / percentage-entity
                        :value 75))
            :op3 (l2 / limit-01
                  :ARG1 (ii / item
                        :quant (m2 / many))))
      :snt3 (b3 / behave-01
            :ARG0 (e / everyone)
            :ARG1-of (w / well-09)
            :ARG0-of (g2 / give-01
                  :ARG1 (h3 / hope-01
                        :ARG0 (ii2 / i)
                        :ARG1 (f2 / future))
                  :ARG2 ii2)
            :ARG2-of (e2 / except-01
                  :ARG1 (w2 / woman
                        :quant 1
                        :ARG0-of (t / try-01
                              :ARG1 (c2 / cut-02))))))"
"(m / multi-sentence
      :snt1 (a / and
            :op1 (g / go-02
                  :ARG0 (ii / i)
                  :ARG4 (s / supermarket
                        :ARG1-of (l / local-02))
                  :time (d / date-entity
                        :dayperiod (a2 / afternoon)
                        :mod (t / today)))
            :op2 (f / find-01
                  :polarity -
                  :ARG1 (b / bread)))
      :snt2 (s2 / sure-02
            :ARG0 (ii2 / i)
            :ARG1 (o / out-06
                  :ARG1 (b2 / bread
                        :mod (t2 / this))
                  :ARG2 (d2 / date-entity)
                  :degree (w / well)
                  :condition (g2 / get-01
                        :ARG0 (w2 / we)
                        :ARG1 (s3 / situation
                              :mod (s4 / style
                                    :mod (c / country
                                          :name (n / name
                                                :op1 ""Italy""))))))))"
"(a / ask-02
      :ARG0 (n / nurse
            :ARG0-of (c / care-03
                  :ARG1-of (c2 / critical-03)))
      :ARG1 (s / stop-01
            :ARG0 (p / person)
            :ARG1 (b / buy-01
                  :ARG0 p
                  :ARG1 (f / food
                        :mod (a2 / all))
                  :ARG2 (s2 / supermarket)))
      :ARG2 p
      :purpose (p2 / possible-01
            :ARG1 (b2 / buy-01
                  :ARG0 n
                  :ARG1 (t / thing
                        :ARG1-of (s3 / supply-01))
                  :ARG4 (f2 / family
                        :ARG1-of (h / have-org-role-91
                              :ARG0 n
                              :ARG2 (m / member))))))"
"(p / person
      :name (n / name
            :op1 ""Andrew""
            :op2 ""LaSane"")
      :time (d / date-entity
            :day 18
            :month 3
            :year 2020))"
"(m / multi-sentence
      :snt1 (b / be-located-at-91
            :ARG1 (m2 / mask
                  :name (n / name
                        :op1 ""MadeInChina""
                        :op2 ""#KN95""))
            :ARG2 (h / here)
            :purpose (s / save-02
                  :ARG0 m2
                  :ARG1 (c / country
                        :name (n2 / name
                              :op1 ""America""))))
      :snt2 (g / good-02
            :ARG1 (m3 / mask
                  :mod (t / this))
            :ARG2-of (h2 / have-degree-91
                  :ARG1 m3
                  :ARG3 (m4 / more)
                  :ARG4 (m5 / mask
                        :mod (s2 / string-entity
                              :value ""N95"")))))"
"(p / possible-01
      :ARG1 (b / begin-01
            :ARG1 (t / this)
            :ARG1-of (n / new-01)
            :ARG1-of (ii / instead-of-91
                  :ARG2 (e / end-01
                        :ARG1 (w / world))))
      :polarity (a / amr-unknown))"
"(m / multi-sentence
      :snt1 (s / spread-03
            :ARG0 (s2 / store
                  :mod (g / grocery))
            :ARG1 (p / product
                  :name (n / name
                        :op1 ""COVID-19""))
            :polarity (a / amr-unknown))
      :snt2 (h / have-03
            :ARG0 (w / we)
            :ARG1 (p2 / problem)
            :condition (t / true-01
                  :ARG1 (ii / it))))"
"(m / multi-sentence
      :snt1 (c / crisis
            :mod (e / economy)
            :time (c2 / current))
      :snt2 (s / say-01
            :ARG0 (p / person
                  :mod (c3 / country
                        :name (n / name
                              :op1 ""America""))
                  :quant (n2 / nearly
                        :op1 ""2/3""))
            :ARG1 (a / affect-01
                  :ARG0 (c4 / crisis)
                  :ARG1 p)))"
"(l / let-01
      :ARG1 (p / pray-01
            :ARG0 (w / we
                  :mod (a / all)
                  :ARG1-of (a2 / affect-01
                        :ARG0 (d / disease
                              :name (n / name
                                    :op1 ""CODID-19"")))
                  :ARG2-of (ii / include-01
                        :ARG1 (a3 / and
                              :op1 (p2 / patient)
                              :op2 (p3 / person
                                    :ARG0-of (w2 / work-01
                                          :ARG2 (g / government-organization
                                                :name (n2 / name
                                                      :op1 ""NHS"")))
                                    :ARG0-of (b / brave-02)
                                    :ARG1-of (b2 / brilliant-01)
                                    :poss w)
                              :op3 (p4 / person
                                    :ARG0-of (c / care-03))
                              :op4 (p5 / person
                                    :ARG0-of (w3 / work-01
                                          :ARG2 (e / educate-01)))
                              :op5 (p6 / person
                                    :ARG0-of (d2 / drive-01
                                          :ARG1 (d3 / deliver-01)))
                              :op6 (p7 / person
                                    :ARG0-of (w4 / work-01
                                          :ARG2 (s / supermarket)))
                              :op7 (p8 / person
                                    :ARG1-of (ii2 / isolate-01)
                                    :ARG2-of ii2)
                              :op8 (p9 / person
                                    :ARG0-of (d4 / distancing-01
                                          :ARG2 (s2 / society))))))))"
"(m / multi-sentence
      :snt1 (l / look-02
            :ARG0 (s / store)
            :ARG1 (g / good-02)
            :time (t / today))
      :snt2 m
      :snt3 (f / food
            :quant (p / plenty))
      :snt4 (l2 / limit-01
            :ARG1 (s2 / stock-01
                  :ARG1 (p2 / paper)))
      :snt5 (a / and
            :op1 (c / check-01
                  :polarity -
                  :ARG0 (ii / i)
                  :ARG1 (s3 / sanitizer
                        :mod (h / hand)))
            :op2 (m2 / make-01
                  :ARG0 (ii2 / i)
                  :ARG1 (s4 / sanitizer
                        :mod h)
                  :time (b / before
                        :quant (w / while))))
      :snt6 (p3 / part
            :mod (o / only)
            :ARG0-of (a2 / annoy-01)
            :domain (p4 / person
                  :quant (f2 / few)
                  :ARG1-of (g2 / get-03
                        :ARG2 (c2 / close-10
                              :ARG1 p4
                              :ARG2 ii2))))
      :snt7 (s5 / stay-01
            :mode imperative
            :ARG1 (y / you)
            :ARG3 (a3 / away)
            :mod (e / ew
                  :mode expressive)))"
"(p / possible-01
      :ARG1 (s / shop-01
            :ARG0 (y / you)
            :ARG2 (l / link
                  :location (b / below))
            :time (n / now))
      :ARG1-of (s2 / say-01
            :ARG0 (ii / i)
            :ARG2 (p2 / person
                  :name (n2 / name
                        :op1 ""KronosATI""))))"
"(d / develop-02
      :ARG1 (a / app)
      :ARG3 (c / curb-01
            :ARG0 a
            :ARG1 (t / transmit-01
                  :ARG1 (c2 / coronavirus
                        :mod (n / novel)))))"
"(m / multi-sentence
      :snt1 (r / remind-01
            :ARG1 (o / obligate-01
                  :ARG1 (p / person
                        :ARG0-of (r2 / reside-01)
                        :mod (a / all))
                  :ARG2 (s / stay-01
                        :ARG1 p
                        :ARG3 (h / home)
                        :ARG2-of (e / except-01
                              :ARG1 (a2 / activity-06
                                    :ARG0 p
                                    :mod (e2 / essential)
                                    :example (o2 / or
                                          :op1 (g / go-02
                                                :ARG0 p
                                                :ARG4 (s2 / store
                                                      :mod (g2 / grocery)))
                                          :op2 (p2 / pick-up-04
                                                :ARG0 p
                                                :ARG1 (m2 / medication))))))
                  :ARG1-of (s3 / say-01
                        :ARG0 (o3 / order-01
                              :ARG0 (p3 / person
                                    :name (n / name
                                          :op1 ""Hogan"")
                                    :ARG0-of (h2 / have-org-role-91
                                          :ARG2 (g3 / governor)))
                              :mod (e3 / executive)))))
      :snt2 (s4 / stay-01
            :ARG1 (p4 / person
                  :name (n2 / name
                        :op1 ""StayHomeSaveLives"")))
      :snt3 (p5 / publication
            :name (n3 / name
                  :op1 ""PGCCOVID19"")))"
"(t / thank-01
      :ARG0 (ii / i)
      :ARG1 (p / person
            :name (n / name
                  :op1 ""COVID-19""))
      :ARG2 (t2 / thing
            :ARG2-of (p2 / price-01
                  :ARG1 (g / gas))
            :ARG1-of (c / cheap-02)))"
"(m / multi-sentence
      :snt1 (b / bear-02
            :ARG1 (p / person
                  :name (n / name
                        :op1 ""Bernie""))
            :purpose (m2 / moment
                  :mod (t / this)))
      :snt2 (c / contrast-01
            :ARG1 (p2 / possible-01
                  :polarity -
                  :ARG1 (b2 / beat-03
                        :ARG0 (h / he)
                        :ARG1 (f / fool
                              :ARG0-of (b3 / bumble-01)
                              :ARG1-of (c2 / capable-01
                                    :polarity -
                                    :ARG2 (s / string-01
                                          :ARG0 f
                                          :ARG1 (s2 / sentence)
                                          :manner (t2 / together))
                                    :ARG1-of (r / resemble-01
                                          :ARG2 (p3 / person
                                                :name (n2 / name
                                                      :op1 ""Biden"")
                                                :time (p4 / primary)))))))
            :ARG2 (h2 / have-03
                  :ARG0 h
                  :ARG1 (t3 / thing
                        :ARG2-of (s3 / solve-01)
                        :ARG1-of (r2 / real-04))
                  :location (s4 / shelf
                        :part-of (s5 / supermarket)
                        :ARG1-of (e / empty-02))
                  :ARG1-of (r3 / resemble-01
                        :ARG2 (d / do-02
                              :ARG0 (p5 / person
                                    :mod (e2 / every)
                                    :location (c3 / country
                                          :name (n3 / name
                                                :op1 ""Russia""))
                                    :mod (p6 / political-movement
                                          :name (n4 / name
                                                :op1 ""Communism""))))))))"
"(m / multi-sentence
      :snt1 (s / stay-01
            :mode imperative
            :polite +
            :ARG1 (y / you)
            :location (h / home)
            :condition (p / person
                  :polarity -
                  :ARG0-of (w / work-01)
                  :ARG1-of (k / key-02)
                  :domain y))
      :snt2 (c / contrast-01
            :ARG1 (l / live-01
                  :ARG0 (w2 / we)
                  :time (t / time
                        :ARG1-of (ii / imagine-01
                              :ARG1-of (p2 / possible-01
                                    :polarity -))))
            :ARG2 (m2 / matter-01
                  :ARG1 (ii2 / it)
                  :ARG2 (a / and
                        :op1 l)
                  :op2 (d / die-01)))
      :snt3 (a2 / and
            :op1 (g / go-02
                  :ARG0 (ii3 / i)
                  :ARG4 (w3 / work-01
                        :ARG0 ii3)
                  :beneficiary (y2 / you))
            :op2 (s2 / stay-01
                  :ARG1 y2
                  :location h
                  :beneficiary (ii4 / i)))
      :snt4 (a3 / and
            :op1 (p3 / please)
            :op2 (t2 / thank-01
                  :ARG0 (ii5 / i)
                  :ARG1 y2)))"
"(a / and
      :op1 (s / see-01
            :ARG0 (h / he)
            :ARG1 (g / get-01
                  :ARG0 (m / minimalism)
                  :ARG1 (h2 / hand
                        :mod (u / upper)))
            :mod (a2 / also))
      :op2 (e / expand-01
            :ARG0 m
            :ARG1 (m2 / model-01
                  :ARG1 (b / business)
                  :ARG0-of (t / thrive-01
                        :time (a3 / after
                              :op1 (n / natural-disaster
                                    :name (n2 / name
                                          :op1 ""Corona""))))
                  :ARG2-of (ii / include-01
                        :ARG1 (a4 / and
                              :op1 (c / company
                                    :mod (n3 / native
                                          :mod (d / digital))
                                    :ARG0-of (d2 / direct-02
                                          :ARG1 (p / person
                                                :ARG0-of (c2 / consume-01))))
                              :op2 (s2 / site
                                    :ARG0-of (r / retail-01
                                          :ARG1 (f / fashion))))))))"
"(t / tumble-01
      :ARG0 (l / law
            :name (n / name
                  :op1 ""COVID-19""))
      :ARG1 (p / price-01
            :ARG1 (c / coffee))
      :ARG4 (l2 / low-04
            :ARG1 p
            :mod (r / record)
            :time (b / before
                  :op1 (n2 / now)
                  :duration (t2 / temporal-quantity
                        :quant 10
                        :unit (y / year)))))"
"(m / multi-sentence
      :snt1 (e / emerge-01
            :ARG0 (r / reality
                  :ARG1-of (n / new-01)
                  :topic (r2 / relation-03
                        :ARG0 (s / slash
                              :op1 (p / person
                                    :ARG0-of (c / consume-01))
                              :op2 (p2 / person
                                    :ARG0-of (p3 / provide-01))))))
      :snt2 (t / telehealth
            :mod (j / just
                  :polarity -))
      :snt3 (n2 / normal-02
            :ARG1 (a / and
                  :op1 (m2 / map-01
                        :ARG1 (j2 / journey-01
                              :ARG0 (p4 / patient))
                        :mod (h / home))
                  :op2 (u / use-01
                        :ARG1 (d / data
                              :mod (t2 / that))
                        :ARG2 (d2 / drive-02
                              :ARG0 d
                              :ARG1 (ii / interact-01
                                    :ARG1 (s2 / system
                                          :mod (h2 / healthcare))))))
            :ARG1-of (n3 / new-01))
      :snt4 (s3 / string-entity
            :value ""COVID19"")
      :snt5 (s4 / stay-01
            :location (h3 / home))
      :snt6 (v / virus
            :name (n4 / name
                  :op1 ""Coronavirus"")))"
"(m / multi-sentence
      :snt1 (t / try-01
            :ARG0 (ii / i)
            :ARG1 (h / help-01
                  :ARG0 ii
                  :ARG1 (s / stock-up-02
                        :ARG0 (p / person
                              :location (c / community
                                    :poss ii)
                              :ARG0-of (a / afford-01
                                    :ARG1 s)
                              :ARG1-of (p2 / possible-01
                                    :polarity -)
                              :time (q / quarantine-01
                                    :mod (t2 / this))))
                  :ARG1 (a2 / and
                        :op1 (f / food)
                        :op2 (t3 / toiletry)))
            :ARG2 p)
      :snt2 (d / detail-01
            :ARG1 (a3 / account
                  :poss (ii2 / i))
            :location (h2 / here)
            :mod (c2 / company
                  :name (n / name
                        :op1 ""Oseni""
                        :op2 ""Olamide"")
                  :ARG1-of (n2 / number-01
                        :ARG2 (d2 / date-entity
                              :year 2002
                              :month 7
                              :day 16))
                  :location (b / bank
                        :name (n3 / name
                              :op1 ""Sterling""))))
      :snt3 p2
      :polarity -
      :ARG1 (d3 / do-02
            :ARG0 a2
            :op1 ii2
            :op2 (a4 / alone
                  :domain ii2))
      :ARG1 t2)"
"(s / say-01
      :ARG0 (w / woman
            :ARG0-of (l / look-01
                  :direction (o / over
                        :op1 (s2 / shoulder
                              :part-of (ii / i)))
                  :location (s3 / supermarket)))
      :ARG1 (a / and
            :op1 (t / take-01
                  :ARG0 w
                  :ARG1 (t2 / thing
                        :quant 3)
                  :mod (o2 / only))
            :op2 (p / plenty
                  :beneficiary (e / everyone))
            :ARG0-of (c / cause-01
                  :ARG1 (a2 / and
                        :op1 (b / back-off-11
                              :polite +
                              :mode imperative
                              :ARG0 (y / you))
                        :op2 (r / respect-01
                              :mode imperative
                              :ARG0 y
                              :ARG1 (r2 / rule-01
                                    :ARG3 (d / distance-quantity
                                          :quant 2
                                          :unit (m / meter))))))))"
"(m / mood
      :ARG1-of (b / bad-07)
      :domain (ii / i)
      :time (r / run-02
            :ARG0 (s / someone)
            :direction (b2 / behind
                  :op1 ii))
      :location (s2 / store
            :mod (g / grocery))
      :time (d / date-entity
            :dayperiod (m2 / morning)
            :mod (t / today)))"
"(h / have-condition-91
      :ARG1 (p / possible-01
            :ARG1 (b / become-01
                  :ARG1 (a / and
                        :op1 (v / visit-01
                              :ARG1 (s / supermarket)
                              :ARG1-of (t / time-01))
                        :op2 (r / restrict-01
                              :ARG1 (t2 / transport-01
                                    :ARG1-of (p2 / public-02)))
                        :op3 (h2 / hour
                              :mod (w / work-01)
                              :ARG1-of (a2 / alternate-01)))
                  :ARG2 (n / norm
                        :ARG1-of (n2 / new-01))))
      :ARG2 (f / flatten-01
            :polarity -
            :ARG0 (m / measure-02
                  :ARG0 (c / country
                        :name (n3 / name
                              :op1 ""Australia""))
                  :ARG1 (t3 / thing
                        :name (n4 / name
                              :op1 ""COVID""
                              :op2 19))
                  :mod (l / last))
            :ARG1 (c2 / curve)))"
"(s / say-01
      :ARG0 (p / person
            :ARG0-of (h / have-org-role-91
                  :ARG1 (s2 / supermarket)
                  :ARG2 (b / boss)))
      :ARG1 (r / remain-01
            :ARG1 (l / limit-01
                  :ARG1 (b2 / buy-01))
            :time (n / now)))"
"(c / cause-01
      :ARG0 (a / and
            :op1 (b / be-located-at-91
                  :ARG1 (w / we
                        :mod (a2 / all))
                  :ARG2 (t / this)
                  :mod (t2 / together))
            :op2 (h / have-degree-91
                  :ARG1 (e / each
                        :ARG1-of (ii / include-91
                              :ARG2 w))
                  :ARG2 (ii2 / important-01
                        :ARG1 e)
                  :ARG3 (e2 / equal)
                  :ARG4 (n / next)))
      :ARG1 (g / go-out-17
            :ARG0 (s / she)
            :ARG1 (w2 / way
                  :poss s)
            :purpose (t3 / thank-01
                  :ARG0 s
                  :ARG1 (p / person
                        :ARG2-of (s2 / staff-01
                              :ARG1 (s3 / supermarket))))
            :ARG1-of (r / resemble-01
                  :polarity -
                  :ARG2 (g2 / government-organization
                        :ARG0-of (g3 / govern-01)
                        :mod (c2 / country
                              :name (n2 / name
                                    :op1 ""UK""))
                        :poss w))))"
"(p / prepare-02
      :ARG0 (b / bank
            :mod (f / food)
            :ARG1-of (l / local-02
                  :ARG2 (c / country
                        :name (n / name
                              :op1 ""Canada""))))
      :ARG2 (ii / increase-01
            :ARG0 (l2 / law
                  :name (n2 / name
                        :op1 ""COVID-19""))
            :ARG1 (d / demand-01)
            :ARG1-of (s / sharp-02)))"
"(r / restrict-01
      :ARG0 (c / company
            :name (n / name
                  :op1 ""eBay""))
      :ARG1 (l / listing
            :ARG1-of (n2 / new-01)
            :prep-for (a / and
                  :op1 (p / product
                        :instrument-of (s / sanitize-01
                              :ARG1 (h / hand)))
                  :op2 (p2 / product
                        :instrument-of (m / mask-01
                              :ARG1 (f / face)))))
      :ARG1-of (c2 / cause-01
            :ARG0 (c3 / concern-01
                  :ARG0 (p3 / price-01
                        :ARG1-of (ii / inflate-01)))))"
"(r / recommend-01
      :ARG1 (c / check-01
            :ARG0 (y / you)
            :ARG1 (s / section
                  :mod (p / produce))
            :ARG2 (b / bag))
      :ARG2 y
      :time (f / forget-01
            :ARG0 y
            :ARG1 (g / glove
                  :poss y)
            :location (s2 / store
                  :mod (g2 / grocery))))"
"(m / multi-sentence
      :snt1 (n / need-01
            :ARG0 (y / you)
            :ARG1 (m2 / mask
                  :mod (f / face)
                  :ARG0-of (p / protect-01
                        :ARG2 (v / virus
                              :name (n2 / name
                                    :op1 ""Covid-19""))))
            :polarity (a / amr-unknown))
      :snt2 (c / check-out-05
            :mode imperative
            :ARG0 y
            :ARG1 (m3 / mask
                  :ARG1-of (s / select-01
                        :ARG0 (w / we))
                  :ARG1-of (p2 / price-01
                        :ARG1-of (r / regular-03)))))"
"(s / say-01
      :ARG0 (s2 / source)
      :ARG1 (b / bury-01
            :ARG1 (f / farm
                  :mod (p / poultry)
                  :location (d / district
                        :name (n / name
                              :op1 ""Bulandshahr"")))
            :ARG2 (c / chick
                  :quant (o / over
                        :op1 6000))
            :ARG1-of (r / report-01)
            :manner (l / live-01
                  :ARG0 f)
            :ARG1-of (c2 / cause-01
                  :ARG0 (b2 / become-01
                        :ARG1 (m / maintain-01
                              :ARG1 c)
                        :ARG2 (f2 / feasible
                              :polarity -)
                        :ARG1-of (c3 / cause-01
                              :ARG0 (f3 / fall-01
                                    :ARG1 (t / thing
                                          :ARG2-of (p2 / price-01
                                                :ARG1 (c4 / chicken)))
                                    :ARG2 (d2 / drastic))))))
      :time (d3 / date-entity
            :weekday (t2 / thursday)))"
"(m / multi-sentence
      :snt1 (d / drop-01
            :ARG1 (p / price-01
                  :ARG1 (d2 / data))
            :time (d3 / date-entity
                  :month 4)
            :ARG0-of (c / cause-01
                  :ARG1 (e / expect-01
                        :ARG0 (ii / i)
                        :ARG1 (g / grow-01
                              :ARG1 (r / revenue
                                    :source (d4 / data))
                              :concession (m2 / much
                                    :polarity -)))))
      :snt2 (a / and
            :op1 (d5 / decline-01
                  :ARG1 (r2 / revenue
                        :source (v / voice)))
            :op2 (c2 / change-01
                  :polarity -
                  :ARG0 (p2 / pandemic
                        :name (n / name
                              :op1 ""Covid-19"")
                        :mod (e2 / even))
                  :ARG1 d5)))"
"(m / multi-sentence
      :snt1 (g / go-02
            :ARG0 (y / you)
            :ARG4 (s / supermarket)
            :ARG1-of (ii / include-91
                  :ARG2 (t / thing
                        :quant (f / few)
                        :ARG1-of (d / do-02
                              :ARG0 (w / we)
                              :ARG3 (d2 / distance-01
                                    :ARG0 w
                                    :ARG2 (s2 / society))
