AMR
"(m / multi-sentence
                  :ARG0 p
                  :ARG1 (n2 / news
                        :mod (g / great))))
      :snt2 (s2 / say-01
            :ARG0 (p2 / person
                  :name (n3 / name
                        :op1 ""US""))
            :ARG1 (v / vaccine
                  :mod (v2 / virus)
                  :mod (c / coronavirus))
            :polarity (a / amr-unknown))
      :snt3 (s3 / say-01
            :ARG0 (p3 / person
                  :name (n4 / name
                        :op1 ""Trump""))
            :ARG1 (n5 / no))
      :snt4 (h2 / have-degree-91
            :ARG1 (p4 / price-01
                  :ARG1 (o / oil))
            :ARG2 (h3 / high-02
                  :ARG1 p4)
            :ARG3 (m2 / more)))"
"(l / lie-08
      :ARG0 (p / person
            :name (n / name
                  :op1 ""Cuomo""))
      :ARG1 (s / say-01
            :ARG0 (p2 / person
                  :ARG0-of (w / work-01
                        :ARG2 (p3 / prison))
                  :poss p)
            :ARG1 (m / make-01
                  :polarity -
                  :ARG0 p2
                  :ARG1 (t / thing
                        :ARG0-of (s2 / sanitize-01
                              :ARG1 (h / hand)))
                  :ARG1-of (a / actual-02)
                  :ARG1-of (m2 / mean-01
                        :ARG2 (d / do-02
                              :ARG0 p2
                              :ARG1 (a2 / and
                                    :op1 (t2 / take-01
                                          :ARG0 p2
                                          :ARG1 (t3 / thing
                                                :ARG0-of (s3 / sanitize-01
                                                      :ARG1 (h2 / hand))
                                                :ARG1-of (e / exist-01)))
                                    :op2 (r / rebottle-01
                                          :ARG0 p2
                                          :ARG1 t3
                                          :destination (t4 / thing
                                                :ARG2-of (p4 / package-01)
                                                :ARG1-of (l2 / label-01
                                                      :ARG2 (p5 / product
                                                            :name (n2 / name
                                                                  :op1 ""NYS""
                                                                  :op2 ""Clean"")))))))))))"
"(m / multi-sentence
      :snt1 (r / remain-01
            :ARG1 (c / coal)
            :ARG3 (h / have-degree-91
                  :ARG1 c
                  :ARG2 (b / big)
                  :ARG3 (m2 / most)
                  :ARG5 (c2 / consume-01
                        :ARG0 c
                        :ARG1 (w / water)
                        :location (c3 / country
                              :name (n / name
                                    :op1 ""South""
                                    :op2 ""Africa"")))))
      :snt2 (g / guzzle-01
            :ARG0 (c4 / coal)
            :ARG1 (w2 / water
                  :quant (v / volume-quantity
                        :quant 10000
                        :unit (l / liter)))
            :frequency (r2 / rate-entity-91
                  :ARG3 (t / temporal-quantity
                        :quant 1
                        :unit (s / second))))
      :snt3 (a / and
            :op1 (c5 / compromise-02
                  :ARG0 (c6 / coal)
                  :ARG1 (w3 / water
                        :poss (w4 / we)))
            :op2 (c7 / compromise-02
                  :ARG0 c6
                  :ARG1 (a2 / air
                        :poss w4))
            :op3 (c8 / compromise-02
                  :ARG0 c6
                  :ARG1 (h2 / humanity
                        :poss w4))))"
"(m / multi-sentence
      :snt1 (p / possible-01
            :polarity -
            :ARG1 (f / feed-01
                  :ARG0 (w / we)
                  :ARG2 (n / nation)
                  :manner (a / accompany-01
                        :polarity -
                        :ARG0 (y / you))))
      :snt2 (h / have-condition-91
            :ARG1 (h2 / have-03
                  :ARG0 (w2 / we)
                  :ARG1 (o / opportunity
                        :beneficiary (y2 / you)))
            :ARG2 (o2 / or
                  :op1 (ii / impact-01
                        :ARG0 (e / event
                              :mod (c / current))
                        :ARG1 y2)
                  :op2 (l / look-01
                        :ARG0 y2
                        :ARG1 (w3 / work-01
                              :ARG0 y2
                              :duration (t / term
                                    :ARG1-of (s / short-07))))))
      :snt3 (a2 / apply-01
            :time (n2 / now)
            :medium (u / url-entity
                  :value ""https://t.co/MT6Hd1OcuF"")))"
"(m / multi-sentence
      :snt1 (n / need-01
            :ARG0 (w / we)
            :ARG1 (t / thing
                  :ARG0-of (t2 / track-01
                        :ARG1 (p / paper
                              :purpose (t3 / toilet))))
            :ARG1-of (ii / instead-of-91
                  :ARG2 (t4 / thing
                        :ARG0-of (t5 / track-01
                              :ARG1 (p2 / person
                                    :name (n2 / name
                                          :op1 ""NoradSanta""))))))
      :snt2 (s / string-entity
            :value ""toiletpaper #COVID?19"")
      :snt3 (v / virus
            :mod (c / coronavirus))
      :snt4 (s2 / stay-01
            :location (h / home)))"
"(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (ii / i)
            :ARG1 (t / think-01
                  :ARG0 (p / person
                        :name (n / name
                              :op1 ""DunelmUK""))
                  :ARG1 (t2 / time
                        :time-of (s2 / shop-01
                              :ARG0 p
                              :location (o / online)
                              :time (n2 / now)
                              :mod (j / just)))
                  :polarity (a / amr-unknown)
                  :time (u / until
                        :op1 (r / risk-01
                              :ARG2 (c / contaminate-01
                                    :ARG2 (p2 / product
                                          :name (n3 / name
                                                :op1 ""Covid-19""))))))
            :ARG2 p)
      :snt2 (n4 / need-01
            :ARG0 (w / we)
            :ARG1 (e / encourage-01
                  :ARG0 w
                  :ARG1 (p3 / person)
                  :ARG2 (d / do-02
                        :ARG0 p3
                        :ARG1 (a2 / and
                              :op1 (d2 / distance-01
                                    :ARG1 p3
                                    :ARG2 (s3 / society))
                              :op2 (ii2 / isolate-01
                                    :ARG1 p3
                                    :ARG2 p3))))))"
"(m / multi-sentence
      :snt1 (t / think-01
            :ARG0 (ii / i)
            :ARG1 (c / cause-01
                  :ARG0 (p / person
                        :name (n / name
                              :op1 ""PerintahKawalanPergerakan"")
                        :mod (t2 / this))
                  :ARG1 (c2 / case-04
                        :ARG1 (s / string-entity
                              :value ""COVID2019"")
                        :quant (m2 / more))))
      :snt2 (g / gather-03
            :ARG0 (p2 / person
                  :quant (m3 / more))
            :ARG1 (s2 / string-entity
                  :value ""Dekat""
                  :ARG1-of (v / value-01
                        :ARG1-of (v2 / value-01
                              :polarity -))))
      :snt3 (s3 / string-entity
            :value ""1. Stesen bus""
            :ARG1-of (v3 / value-01
                  :polarity -
                  :ARG1-of (v4 / value-01)))
      :snt4 (s4 / string-entity
            :value ""Balai Polis""
            :ARG1-of (v5 / value-01
                  :polarity -
                  :ARG1-of (v6 / value-01)))
      :snt5 (b / buy-01
            :mod (p3 / panic-01)))"
"(m / multi-sentence
      :snt1 (m2 / misinform-01
            :quant (l / lot)
            :location (o / out-there))
      :snt2 (r / recommend-01
            :ARG0 (o2 / organization
                  :name (n / name
                        :op1 ""World""
                        :op2 ""Health""
                        :op3 ""Organization""))
            :ARG1 (u / use-01
                  :ARG1 (p / product
                        :ARG0-of (s / sanitize-01
                              :ARG1 (h / hand))
                        :ARG1-of (c / contain-01
                              :ARG2 (a / alcohol)
                              :quant (a2 / at-least
                                    :op1 (p2 / percentage-entity
                                          :value 60))))))
      :snt3 (v / virus
            :name (n2 / name
                  :op1 ""coronavirus"")
            :mod (c2 / city
                  :name (n3 / name
                        :op1 ""Covid19"")))
      :snt4 (u2 / url-entity
            :value ""https://t.co/2hhqFKerCo""))"
"(c / confirm-01
      :ARG0 (c2 / company
            :name (n / name
                  :op1 ""Apple""))
      :ARG1 (p / possible-01
            :polarity -
            :ARG1 (p2 / pick-up-04
                  :ARG1 (d / device
                        :ARG1-of (l / leave-12
                              :ARG2 (r / repair-01
                                    :ARG1 d)
                              :location (s / store
                                    :mod (r2 / retail-01)))))
            :ARG1-of (c3 / cause-01
                  :ARG0 (l2 / law
                        :name (n2 / name
                              :op1 ""COVID-19""))))
      :medium (u / url-entity
            :value ""https://t.co/ZTe4SbA1zQ"")
      :ARG1-of (s2 / say-01
            :ARG2 (p3 / person
                  :name (n3 / name
                        :op1 ""ChanceHMiller""))))"
"(m / multi-sentence
      :snt1 (c / continue-01
            :time c
            :ARG1 (p / pandemic))
      :concession (p2 / pose-02
            :ARG0 c
            :ARG1 (r / risk-01
                  :ARG2 (s / spread-03
                        :ARG1 (d / disease)
                        :path (a / across
                              :op1 (a2 / and
                                    :op1 (b / border)
                                    :op2 (o / overseas)))))
            :mod (p3 / potential))
      :snt2 (c2 / call-03
            :ARG0 (p4 / person
                  :ARG0-of (c3 / campaign-01))
            :ARG1 (s2 / suspend-01
                  :ARG1 c
                  :ARG1-of (c4 / cause-01
                        :ARG0 (c5 / concern-01
                              :ARG0 (d2 / disease
                                    :mod (w / welfare)
                                    :mod (a3 / amp)))))
            :time (c6 / crisis
                  :mod (b2 / border)
                  :mod (c7 / current)))
      :ARG1-of (r2 / read-01
            :ARG0 (y / you)))"
"(m / multi-sentence
      :snt1 (s / see-01
            :ARG0 (y / you)
            :ARG1 (d / drop-01
                  :ARG1 (f / footfall
                        :mod (c / customer))
                  :location (s2 / store
                        :mod (g / grocery)
                        :poss y)))
      :snt2 (c2 / cause-01
            :ARG0 (s3 / stay-01
                  :ARG1 (p / person
                        :quant (m2 / more))
                  :location (h / home)
                  :ARG1-of (c3 / cause-01
                        :ARG0 (t / time
                              :time-of (g2 / get-04
                                    :ARG0 p
                                    :ARG1 (d2 / deliver-01
                                          :ARG1 (p2 / product
                                                :poss (y2 / you))
                                          :ARG2 p))))))
      :snt3 (t2 / take-01
            :mode imperative
            :ARG0 (y3 / you)
            :ARG1 (d3 / digital
                  :poss y3)
            :time (n / now)))"
"(m / multi-sentence
      :snt1 (d / down-03
            :ARG1 (ii / index
                  :ARG1-of (b / base-02
                        :ARG2 (c / country
                              :name (n / name
                                    :op1 ""U.S.""))
                        :ARG1-of (b2 / broad-02)))
            :ARG3 (p / percentage-entity
                  :value 26.69)
            :ARG4 (p2 / percentage-entity
                  :value 36.17)
            :ARG1-of (c2 / cause-01
                  :ARG0 (a / and
                        :op1 (r / recession-02
                              :ARG1-of (l / loom-01)
                              :ARG1-of (s / stem-01
                                    :ARG2 (a2 / and
                                          :op1 (c3 / coronavirus)
                                          :op2 (h / hit-01
                                                :ARG1 (a3 / and
                                                      :op1 (s2 / spend-01
                                                            :ARG0 (p3 / person
                                                                  :ARG0-of (c4 / consume-01)))
                                                      :op2 (p4 / product
                                                            :ARG1-of (r2 / report-01)
                                                            :ARG1-of (ii2 / improve-01))
                                                      :op3 (d2 / dividend)
                                                      :op4 (e / event
                                                            :mod (c5 / credit-02)
                                                            :mod (ii3 / income
                                                                  :ARG1-of (f / fix-03)))
                                                      :op5 (c6 / contract-02
                                                            :ARG1 p4
                                                            :ARG1-of (g / gross-03)
                                                            :mod (d3 / domestic))))
                                          :ARG1-of (e2 / estimate-01)))))))
      :snt2 (a4 / and
            :op1 r)
      :op2 (p5 / publication
            :name (n2 / name
                  :op1 ""Recession""))
      :op3 p5
      :name (n3 / name
            :op1 ""Panic""))"
"(m / multi-sentence
      :snt1 (g / get-05
            :ARG0 (a / article
                  :mod (t / this))
            :ARG1 (b / bottom
                  :poss (s / short-06
                        :ARG2 (p / paper
                              :purpose (t2 / toilet)))))
      :snt2 (t3 / talk-01
            :mode imperative
            :ARG0 (y / you)
            :ARG1 (p2 / product
                  :name (n / name
                        :op1 ""Royal""
                        :op2 ""Flush"")
                  :mod (c / coronavirus)))
      :snt3 (s2 / stay-01
            :location (h / home))
      :ARG1-of (h2 / hyperlink-91
            :ARG3 (u / url-entity
                  :value ""https://t.co/aIrGvBU5e6"")))"
"(m / multi-sentence
      :snt1 (d / do-02
            :polarity -
            :ARG0 (w / wear-01
                  :ARG1 (m2 / mask))
            :ARG1 (m3 / much)
            :condition (a / and
                  :op1 (w2 / wear-01
                        :polarity -
                        :ARG0 (p / person)
                        :ARG1 (g / glove))
                  :op2 (k / keep-02
                        :polarity -
                        :ARG0 (s / store
                              :mod (g2 / grocery))
                        :ARG1 (c / clean-01
                              :ARG1 (s2 / surface
                                    :location-of (c2 / check-01
                                          :mod (s3 / self)))))))
      :snt2 p
      :name (n / name
            :op1 ""Covid_19"")
      :snt3 (u / url-entity
            :value ""https://t.co/DByap4svoW""))"
"(m / multi-sentence
      :snt1 (a / and
            :op1 (t / thing
                  :ARG2-of (p / price-01
                        :ARG1 (c / chemical))
                  :location (c2 / continent
                        :name (n / name
                              :op1 ""Europe"")))
            :op2 (t2 / thing
                  :ARG2-of (p2 / price-01
                        :ARG1 (s / stock))
                  :location c2)
            :ARG1-of (m2 / mix-01)
            :ARG1-of (c3 / cause-01
                  :ARG0 (s2 / start-01
                        :ARG1 (p3 / peter-out-01
                              :ARG1 (e / effect-03
                                    :ARG0 (t3 / thing
                                          :ARG0-of (s3 / stimulate-01)
                                          :mod (c4 / country
                                                :name (n2 / name
                                                      :op1 ""US""))))))))
      :snt2 a
      :op1 (t4 / thing
            :name (n3 / name
                  :op1 ""ICIS""))
      :op2 (v / virus)
      :op3 (p4 / product
            :name (n4 / name
                  :op1 ""COVID19""))
      :op4 (c5 / chemical)
      :op5 (t5 / thing
            :ARG2-of (p5 / price-01))
      :op6 (t6 / thing
            :ARG2-of (s4 / stock-01))
      :snt3 (u / url-entity
            :value ""https://t.co/eduPiQeK8n""))"
"(m / multi-sentence
      :snt1 (p / protect-01
            :ARG0 (y / you)
            :ARG1 y
            :ARG2 (p2 / product
                  :name (n / name
                        :op1 ""COVID""))
            :polarity (a / amr-unknown))
      :snt2 (p3 / product
            :name (n2 / name
                  :op1 ""Coronavirus"")
            :time (s / shop-01
                  :ARG0 y
                  :ARG1 (g / grocery))
            :polarity (a2 / amr-unknown))
      :snt3 (o / or
            :op1 (b / be-located-at-91
                  :ARG2 (s2 / store))
            :op2 (o2 / online))
      :snt4 (h / health
            :mod (p4 / public))
      :snt5 (u / url-entity
            :value ""https://t.co/lXnXIGbjMk""))"
"(m / multi-sentence
      :snt1 (c / check-out-05
            :mode imperative
            :ARG0 (y / you)
            :ARG1 (c2 / camera
                  :mod (t / traffic)
                  :location (c3 / city
                        :name (n / name
                              :op1 ""Windsor""))))
      :snt2 (g / guide-01
            :ARG0 (p / product
                  :name (n2 / name
                        :op1 ""Coronavirus""
                        :op2 ""COVID-19""))
            :ARG1 (d / deliver-01
                  :ARG1 (t2 / take-out-11)))
      :snt3 (l / low-04
            :ARG1 (p2 / price-01
                  :ARG1 (g2 / gas))
            :location (a / and
                  :op1 c3
                  :op2 (c4 / county
                        :name (n3 / name
                              :op1 ""Essex""
                              :op2 ""County"")
                        :location (p3 / province
                              :name (n4 / name
                                    :op1 ""Ontario""))))
            :ARG2-of (h / have-degree-91
                  :ARG1 p2
                  :ARG3 (m2 / most)))
      :snt4 (p4 / publication-91
            :ARG1 (r / release-01
                  :ARG0 (g3 / government-organization
                        :ARG0-of (g4 / govern-01
                              :ARG1 p3))
                  :ARG1 (l2 / list
                        :consist-of (w / workplace
                              :ARG1-of (e / essential-02)
                              :ARG1-of (a2 / allow-01
                                    :ARG2 (r2 / remain-01
                                          :ARG1 w
                                          :ARG3 (o / open-09
                                                :ARG1 w)
                                          :time (s / shut-down-05
                                                :ARG1 p3))))))
            :ARG4 (u / url-entity
                  :value ""https://t.co/ErX09r3XYo"")))"
"(m / multi-sentence
      :snt1 (t / thing
            :ARG1-of (g / good-02)
            :topic (s / stick-01
                  :ARG2 (h / home))
            :domain (a / and
                  :op1 (t2 / time
                        :li 1
                        :purpose (a2 / and
                              :op1 (a3 / art)
                              :op2 a3)
                        :op3 (c / craft))
                  :mod (m2 / more))
            :op2 (r / read-01
                  :li 3
                  :ARG1 (b / book
                        :mod (e / electronics)))
            :op3 (w / walk-01
                  :li 4
                  :ARG0 (ii / i)
                  :polarity (a4 / amr-unknown))
            :op4 (s2 / save-01
                  :li 5
                  :ARG1 (g2 / gas))
            :op5 (s3 / shop-01
                  :li 5
                  :location (o / online)))
      :snt2 (a5 / and
            :op1 (s4 / string-entity
                  :value ""covid_19"")
            :op2 (s5 / string-entity
                  :value ""positivevibes"")
            :medium (u / url-entity
                  :value ""https://t.co/xshCtJIDOH"")))"
"(u / update-01
      :ARG1 (s / site
            :poss (a / and
                  :op1 (p / person
                        :ARG0-of (c / consume-01))
                  :op2 (b / business
                        :mod (s2 / small))))
      :ARG2 (ii / information
            :ARG1-of (r / relevant-01)
            :mod (p2 / product
                  :name (n / name
                        :op1 ""COVID""
                        :op2 19))))"
"(m / multi-sentence
      :snt1 (a / and
            :op1 (m2 / mood
                  :poss (ii / i)
                  :mod (w / whole)
                  :time (b / be-located-at-91
                        :ARG1 ii
                        :ARG2 (s / store
                              :mod (g / grocery))
                        :time (d / date-entity
                              :dayperiod (m3 / morning)
                              :mod (t / today))))
            :op2 (d2 / decide-01
                  :ARG0 (s2 / someone)
                  :ARG1 (r / run-02
                        :ARG0 s2
                        :direction (b2 / behind
                              :op1 ii)
                        :mod (r2 / right))))
      :snt2 a
      :op1 (d3 / distance-01
            :time (n / now))
      :op2 (p / product
            :name (n2 / name
                  :op1 ""COVID19""))
      :op3 (v / virus)
      :op4 (t2 / thing
            :name n2
            :op1 ""ILOVEMYLIFEGIVEME50FT"")
      :snt3 (u / url-entity
            :value ""https://t.co/kBrcOr287L""))"
"(m / multi-sentence
      :snt1 (d / dairy
            :time (e / event
                  :name (n / name
                        :op1 ""COVID""
                        :op2 19)))
      :snt2 (u / up-02
            :ARG1 (d2 / demand-01
                  :ARG1 (m2 / milk
                        :quant (v / volume-quantity
                              :quant ""1/2""
                              :unit (g / gallon)
                              :ARG1-of (r / rate-entity-91
                                    :ARG2 (v2 / volume-quantity
                                          :quant 1
                                          :unit (g2 / gallon)))))
                  :ARG1-of (g3 / good-02))
            :degree (w / way
                  :degree (w2 / way)))
      :snt3 (t / tank-01
            :ARG0 (p / price-01
                  :ARG1 (m3 / milk)
                  :ARG1-of (b / bad-07))
            :ARG1 (p2 / person
                  :ARG0-of (f / farm-01)
                  :ARG0-of (w3 / worry-02
                        :ARG1 (g4 / get-01
                              :ARG0 p2
                              :ARG1 (s / supply
                                    :ARG1-of (n2 / need-01
                                          :ARG0 p2
                                          :purpose (k / keep-02
                                                :ARG0 p2
                                                :ARG1 (h / healthy
                                                      :domain (w4 / workforce
                                                            :poss p2))))))))))"
"(m / multi-sentence
      :snt1 (u / update-02
            :ARG2 (p / publication
                  :name (n / name
                        :op1 ""CODV""
                        :op2 19)))
      :snt2 (c / cancel-01
            :ARG1 (a / and
                  :op1 (s / surgery-01
                        :mod (w / ward))
                  :op2 (v / visit-01
                        :ARG1 (h / home))
                  :mod (a2 / all))
            :ARG1-of (f / follow-01
                  :ARG2 (g / guide-01
                        :ARG0 (c2 / council)))
            :duration (f2 / future
                  :ARG1-of (f3 / foresee-01
                        :ARG1-of (p2 / possible-01))))
      :snt3 (a3 / and
            :op1 (t / take-advantage-02
                  :ARG0 (b / business)
                  :ARG1 (c3 / community
                        :poss (w2 / we)))
            :op2 (p3 / put-03
                  :ARG0 b
                  :ARG1 (p4 / price-01)
                  :ARG2 (u2 / up)))
      :snt4 (r / report-01
            :mode imperative
            :polite +
            :ARG0 (y / you)
            :ARG1 (t2 / they)
            :ARG2 (e / email-address-entity
                  :value ""covidabuse@lbbd gov uk"")))"
"(m / multi-sentence
      :snt1 (s / send-01
            :ARG0 (y / you)
            :ARG1 (n / nigger)
            :ARG2 (s2 / store
                  :mod (g / grocery))
            :polarity (a / amr-unknown))
      :snt2 (e / expose-01
            :ARG1 (l / level
                  :ARG1-of (r / retard-01)
                  :ARG1-of (n2 / new-01))
            :polarity (a2 / amr-unknown))
      :snt3 (p / publication
            :name (n3 / name
                  :op1 ""QuaratineLife""))
      :snt4 (s3 / stay-01
            :ARG1 (p2 / person
                  :name n3
                  :op1 ""Stay""
                  :op2 ""Home""
                  :op3 ""Save""
                  :op4 ""Lives""))
      :snt5 (f / follow-02
            :mod (b / back)))"
"(m / multi-sentence
      :snt1 (l / leave-behind-18
            :ARG0 (g / geek
                  :ARG0-of (t / think-01
                        :mod (s / science)))
            :ARG1 (s2 / sense-02
                  :mod (c / common))
            :time (s3 / sometimes))
      :snt2 (d / disrespect-01
            :ARG0 (y / you)
            :ARG1 (m2 / mask)
            :ARG1-of (r / request-confirmation-91))
      :snt3 (d2 / disrespect-01
            :ARG0 y
            :ARG1 m2)
      :ARG1-of r
      :snt4 (b / be-temporally-at-91
            :ARG2 (o / outside)))"
"(s / say-01
      :ARG0 (p / person
            :ARG0-of (h / have-org-role-91
                  :ARG2 (m / minister
                        :topic (f / finance))))
      :ARG1 (a / anticipate-01
            :ARG1 (l / lose-02
                  :ARG1 (r / revenue
                        :mod (m2 / monetary-quantity
                              :quant 5000000000
                              :unit (d / dollar)))
                  :ARG1-of (c / cause-01
                        :ARG0 (a2 / and
                              :op1 (d2 / depress-01
                                    :ARG1 (p2 / price-01
                                          :ARG1 (e / energy)))
                              :op2 (ii / impact-01
                                    :ARG0 (s2 / slow-01
                                          :ARG1 (b / business))
                                    :ARG2-of (r2 / result-01
                                          :ARG1 (e2 / event
                                                :name (n / name
                                                      :op1 ""Covid_19"")
                                                :location (a3 / and
                                                      :op1 (c2 / country
                                                            :name (n2 / name
                                                                  :op1 ""Trinidad""))
                                                      :op2 (c3 / country
                                                            :name (n3 / name
                                                                  :op1 ""Tobago"")))))))))))"
"(m / multi-sentence
      :snt1 (a / attend-02
            :ARG1 (e / everyone)
            :ARG2-of (r / respond-01
                  :ARG1 (a2 / announce-01
                        :ARG1 (p / product
                              :name (n / name
                                    :op1 ""COVID""
                                    :op2 19))
                        :mod (l / last))))
      :snt2 (c / close-01
            :ARG1 (s / store
                  :mod (r2 / retail-01)
                  :poss (w / we))
            :ARG1-of (s2 / start-01
                  :time (t / today))
            :time (u / until
                  :op1 (d / date-entity
                        :month 3
                        :day 31)))
      :snt3 (o / operate-01
            :ARG1 (s3 / store
                  :mod (o2 / online)
                  :poss w)
            :mod (a3 / as-usual)
            :beneficiary (p2 / person
                  :ARG0-of (w2 / want-01
                        :ARG1 (p3 / purchase-01
                              :ARG0 p2
                              :ARG1 s3))))
      :snt4 (p4 / possible-01
            :ARG1 (o3 / or
                  :op1 (v / visit-01
                        :ARG0 (y / you)
                        :ARG1 (w3 / website
                              :poss w))
                  :op2 (r3 / reach-02
                        :ARG0 y
                        :ARG1 w
                        :medium p
                        :name (n2 / name
                              :op1 ""Whatsapp"")))))"
"(m / multi-sentence
      :snt1 (r / respond-01
            :ARG1 (p / pandemic
                  :name (n / name
                        :op1 ""Covid-19""))
            :ARG2 (w / work-01
                  :ARG0 (t / team
                        :ARG0-of (s / support-01
                              :ARG1 (c / community)))
                  :ARG1 (e / ensure-01
                        :ARG0 t
                        :ARG1 (r2 / receive-01
                              :ARG0 (p2 / person
                                    :ARG0-of (c2 / consume-01)
                                    :poss (w2 / we))
                              :ARG1 (s2 / service
                                    :ARG1-of (n2 / need-01
                                          :ARG0 p2))))
                  :ARG1-of (h / hard-02)))
      :snt2 (u / url-entity
            :value ""https://t.co/geJDy199ls""
            :snt3-of m)
      :value ""https://t.co/jdQiob0Q1n"")"
"(m / multi-sentence
      :snt1 (e / eat-01
            :ARG0 (k / kid)
            :quant (l / lot)
            :manner (ii / isolate-01
                  :ARG1 k))
      :snt2 (b / buy-01
            :polarity -
            :ARG0 (ii2 / i)
            :manner (p / panic-01)
            :condition (s / see-01
                  :ARG0 (y / you)
                  :ARG1 ii2
                  :location (s2 / store
                        :mod (g / grocery))))
      :snt3 (a / and
            :op1 (l2 / lazy
                  :domain (ii3 / i))
            :op2 (e2 / eat-01
                  :ARG0 (f / fuckface
                        :mod (t / this))
                  :ARG1 (r / rate-entity-91
                        :ARG1 (f2 / feed
                              :quant (a2 / about
                                    :op1 (m2 / mass-quantity
                                          :quant 20
                                          :unit (p2 / pound))))
                        :ARG2 (t2 / temporal-quantity
                              :quant 1
                              :unit (d / day)))))
      :snt4 (s3 / surprise-01
            :ARG0 (n / need-01
                  :polarity -
                  :ARG0 (ii4 / i)
                  :ARG1 (p3 / paper
